id;id_network;short_indicator;indicator;dimension;theme;sub_theme;Type_Impact;Type_Indicators;system_based_classification;System_Units;spatial_representation;Ideal;monitor;Pillar
14;607;Average standardized income;Average standardized income;Quality of Life;Consumption and Income;Disposable income;Here and now;;;;City;Progress and Creativity;2_BWMRA;Economic
68;608;Staff HBO-WO;background staff with hbo and/or wo degree;Quality of Life;Education;Educational attainment;Here and now;;;;City;Progress and Creativity;8_Duurzame;Social
16;609;Housing purchase price;Housing purchase price;Quality of Life;Housing;Housing price;Here and now;;System Condition;Monetary;Neighborhood;Progress and Creativity;1_StaatVDS;Social
50;610;Enrrolments informatics;Informatics enrolments in Amsterdam per year;Quality of Life;Education;Participation in education;Here and now;;;;City;Progress and Creativity;8_Duurzame;Social
45;611;Enrollments AMS;Total enrolments in Amsterdam per year;Quality of Life;Education;Participation in education;Here and now;;;;City;Progress and Creativity;8_Duurzame;Social
5;612;Problematic debts;Problematic debts;Quality of Life;Consumption and Income;Debt;Here and now;;;;;Progress and Creativity;9_SDGs;Economic
38;613;Enrollments civil eng.;Civil engineering enrolments in Amsterdam per year;Quality of Life;Education;Participation in education;Here and now;;;;City;Progress and Creativity;8_Duurzame;Social
70;614;Jobs other sustainability;% other jobs in sustainability sector;Quality of Life;Education;Knowledge of sustainable development;Here and now, Later;;;;City;Progress and Creativity;8_Duurzame;Social
244;615;% of children entering high school with a level below the fundamental level 1f for language proficiency, distinguishable by urban districts:;% of children entering high school with a level below the fundamental level 1f for language proficiency, distinguishable by urban districts:;Human Capital;Education;Basic competencies;Here and now, Later;;;;Stadsdeel;Progress and Creativity;10_DBoom;Economic
43;616;Enrollments secretarial work;Secretarial work and information services enrolments in Amsterdam per year;Quality of Life;Education;Participation in education;Here and now;;;;City;Progress and Creativity;8_Duurzame;Social
387;617;Percentage of Amsterdam residents who have participated in a debt assistance program and for whom problematic debts have been resolved;Percentage of Amsterdam residents who have participated in a debt assistance program and for whom problematic debts have been resolved;Quality of Life;Consumption and Income;Debt;Here and now;;;;City;Progress and Creativity;10_DBoom;Economic
64;618;Average rent free market;Average rent free market;Quality of Life;Housing;Housing cost;Here and now;;;;;Progress and Creativity;9_SDGs;Social
14;619;Business AMS;Number of business establishments in Amsterdam   ;Economic Capital;Physical Capital;Capital stock;Here and now, Later;;;;City;Progress and Creativity;8_Duurzame;Economic
62;620;Employed medium educated;% of employees in sector with medium level of education;Quality of Life;Education;Educational attainment;Here and now;;;;City;Progress and Creativity;8_Duurzame;Social
33;621;Enrollments mechanical eng. ;Mechanical Engineering enrolments in Amsterdam per year;Quality of Life;Education;Participation in education;Here and now;;;;City;Progress and Creativity;8_Duurzame;Social
426;622;Average WOZ value owned homes (x €1,000);Average WOZ value owned homes (x €1,000);Quality of Life;Housing;Housing cost;Here and now, Later;;;;City;Progress and Creativity;10_DBoom;Social
21;623;Jobs;Jobs;Human Capital;Labour;Distribution-Labour;Here and now;;;;;Progress and Creativity;11_BBV;Economic
61;624;Employed highly educated;% of employees in sector highly educated;Quality of Life;Education;Lifelong learning;Here and now;;;;City;Progress and Creativity;8_Duurzame;Social
384;625;Percentage of minimum wage households with work or own business as main source of income receiving at least one minimum wage benefit;Percentage of minimum wage households with work or own business as main source of income receiving at least one minimum wage benefit;Quality of Life;Consumption and Income;Official Development Assistance;Here and now;;;;City;Progress and Creativity;10_DBoom;Economic
74;626;Satisfaction road safety;Satisfaction road safety;Quality of Life;Transport;Subjective-Mobility;Here and now;;;;;Progress and Creativity;9_SDGs;Social
64;627;Employed MRA;% employees in sector from MRA;Quality of Life;Labour;Employment rate;Here and now;;;;City;Progress and Creativity;8_Duurzame;Economic
33;628;House selling time;Housing selling time;Quality of Life;Housing;Housing affordability;Here and now;;Adverse Outcome;Time;Neighborhood;Progress and Creativity;5_EVMRA;Social
29;629;inbound-outbound commute;inbound-outbound commute;Quality of Life;Transport;Transport;Here and now;;System Condition;Index;City;Progress and Creativity;5_EVMRA;Social
385;630;The number of reports from partners about payment delays about which contact was made with the Amsterdam resident concerned;The number of reports from partners about payment delays about which contact was made with the Amsterdam resident concerned;Quality of Life;Consumption and Income;Official Development Assistance;Here and now;;;;City;Progress and Creativity;10_DBoom;Economic
34;631;Enrollments chemical lab.;Process and chemical laboratory technology enrolments in Amsterdam per year;Quality of Life;Education;Participation in education;Here and now;;;;City;Progress and Creativity;8_Duurzame;Social
68;632;Trips per mode;Trips per mode;Quality of Life;Transport;Transport;Here and now;;;;;Progress and Creativity;9_SDGs;Social
167;633;Plan supply of business space in transformation areas;Plan supply of business space in transformation areas;Economic Capital;Physical Capital;Infrastructure;Here and now, Later;;;;City;Progress and Creativity;10_DBoom;Economic
92;634;Stage Social returns;Stages in the fulfilment of social return obligations;Social Capital;Institutional;Global social capital;Here and now;;;;City;Progress and Creativity;8_Duurzame;Social
60;635;Employed technical background;% of employees in sector with technical background;Quality of Life;Education;Educational attainment;Here and now;;;;City;Progress and Creativity;8_Duurzame;Social
1;636;Minimum income;Minimum income;Quality of Life;Consumption and Income;Distribution-Income;Here and now;;;;;Progress and Creativity;9_SDGs;Economic
37;637;Demographic pressure;Demographic pressure;Quality of Life;Labour;Demographic changes;Here and now, Later;;;;;Progress and Creativity;11_BBV;Economic
39;638;Municipal housing costs  multi-person household;Municipal housing costs  multi-person household;Quality of Life;Housing;Housing affordability;Here and now;;;;;Progress and Creativity;11_BBV;Social
18;639;Tight electricians-electronics;Tightness indicator Electricians and electronics mechanics;Quality of Life;Labour;Employment rate;Here and now, Later;;;;Regional;Progress and Creativity;8_Duurzame;Economic
281;640;Share of GPs referring to Welzijnscoach (prescription welfare);Share of GPs referring to Welzijnscoach (prescription welfare);Quality of Life;Health;Mental health;Here and now;;;;City;Progress and Creativity;10_DBoom;Social
50;641;Car ownership;Mobility - car ownership;Quality of Life;Transport;Transport;Here and now;;System Condition;Units;Neighborhood;Progress and Creativity;1_StaatVDS;Social
340;642;Amsterdam's share of the national budget for benefits (BUIG) compared to Amsterdam's share of actual expenditure on benefits (BUIG);Amsterdam's share of the national budget for benefits (BUIG) compared to Amsterdam's share of actual expenditure on benefits (BUIG);Quality of Life;Consumption and Income;Official Development Assistance;Here and now;;;;City;Progress and Creativity;10_DBoom;Economic
258;643;All Amsterdam students are taught in a healthy school building;All Amsterdam students are taught in a healthy school building;Economic Capital;Physical Capital;Infrastructure;Here and now;;;;City;Progress and Creativity;10_DBoom;Economic
136;644;Wealth;Wealth;Quality of Life;Consumption and Income;Income;Here and now;;;Monetary;Neighborhood;Progress and Creativity;1_StaatVDS;Economic
199;645;Number of homes included in (new) developments;Number of homes included in (new) developments;Economic Capital;Physical Capital;Infrastructure;Here and now, Later;;;;City;Progress and Creativity;10_DBoom;Economic
37;646;Enrollments AMS;Total enrolments in Amsterdam per year;Quality of Life;Education;Participation in education;Here and now;;;;City;Progress and Creativity;8_Duurzame;Social
436;647;Participations with multimember boards that meet a gender balance of at least 30% for each sex;Participations with multimember boards that meet a gender balance of at least 30% for each sex;Social Capital;Institutional;Distribution-Institutions;Here and now;;;;City;Progress and Creativity;10_DBoom;Social
69;648;Car ownership;Car ownership;Quality of Life;Transport;Transport;Here and now;;;;;Progress and Creativity;9_SDGs;Social
383;649;Percentage of City Pass holders who use the City Pass at least once a year.;Percentage of City Pass holders who use the City Pass at least once a year.;Quality of Life;Consumption and Income;Official Development Assistance;Here and now;;;;City;Progress and Creativity;10_DBoom;Economic
46;650;Flights per year;Total flights per year;Quality of Life;Transport;Transport;Here and now;;Resource Flow;Population;City;Progress and Creativity;5_EVMRA;Social
82;651;Budget external parties;Budget made available from external parties;Economic Capital;Financial Capital;Savings;Here and now, Later;;;;City;Progress and Creativity;8_Duurzame;Economic
31;652;Enrollments installation tech. ;Installation technology enrolments in Amsterdam per year;Quality of Life;Education;Participation in education;Here and now;;;;City;Progress and Creativity;8_Duurzame;Social
2;653;Hours worked;Hours worked;Quality of Life;Labour;Hours worked;Here and now;Strategic;System Condition;Time;City;Progress and Creativity;5_EVMRA;Economic
91;654;Social returns;Extent of social return obligations;Social Capital;Institutional;Global social capital;Here and now;;;;City;Progress and Creativity;8_Duurzame;Social
55;655;Enrollments physics;Physical sciences enrolments in Amsterdam per year;Quality of Life;Education;Participation in education;Here and now;;;;City;Progress and Creativity;8_Duurzame;Social
253;656;Support schools in teacher shortage, distinguishable by district:;Support schools in teacher shortage, distinguishable by district:;Quality of Life;Education;Education expenditures;Here and now;;;;Stadsdeel;Progress and Creativity;10_DBoom;Social
9;657;Business closures;Number of business closures                                  ;Economic Capital;Physical Capital;Capital stock;Here and now, Later;;;;City;Progress and Creativity;8_Duurzame;Economic
437;658;Percentage of companies with more than 25 employees that have an internal policy on diverse recruitment and selection**;Percentage of companies with more than 25 employees that have an internal policy on diverse recruitment and selection**;Social Capital;Institutional;Distribution-Institutions;Here and now;;;;City;Progress and Creativity;10_DBoom;Social
12;659;Perceived health;Perceived health;Quality of Life;Health;Perceived health;Here and now;;;;City;Safe and Healthy;2_BWMRA;Social
215;660;Percentage of youth (5 to 18 years old) per district that structurally play weekly sports compared to the urban target*;Percentage of youth (5 to 18 years old) per district that structurally play weekly sports compared to the urban target*;Quality of Life;Work Life Balance;Sports;Here and now;;;;Stadsdeel;Safe and Healthy;10_DBoom;Social
104;661;Extent of pavement maintenance backlogs.;Extent of pavement maintenance backlogs.;Economic Capital;Physical Capital;Infrastructure;Here and now;;;;City;Safe and Healthy;10_DBoom;Economic
393;662;Preparedness rate Fire Department;Preparedness rate Fire Department;Quality of Life;Safety;Safety;Here and now;;;;City;Safe and Healthy;10_DBoom;Social
75;663;Road deaths and injuries;Road deaths and injuries;Quality of Life;Transport;Transport;Here and now;;;;;Safe and Healthy;9_SDGs;Social
331;664;Percentage of youth 0 to 18 with youth protection;Percentage of youth 0 to 18 with youth protection;Quality of Life;Health;Health care facilities;Here and now;;;;City;Safe and Healthy;10_DBoom;Social
138;665;Number of care provided;Number of care provided;Natural Capital;Land and Ecosystems;Species/Ecosystems;Here and now;;;;City;Safe and Healthy;10_DBoom;Environmental
105;666;Percent availability of playground equipment;Percent availability of playground equipment;Economic Capital;Physical Capital;Infrastructure;Here and now;;;;City;Safe and Healthy;10_DBoom;Economic
106;667;Adults COVID-19;COVID-19 in adults;Quality of Life;Health;COVID-19;Here and now;;Adverse Outcome;People;Neighborhood;Safe and Healthy;1_StaatVDS;Social
330;668;Number of requests for help and advice acute and non-acute from the Center for Sexual Violence Amsterdam- Amstelland;Number of requests for help and advice acute and non-acute from the Center for Sexual Violence Amsterdam- Amstelland;Quality of Life;Safety;Safety;Here and now;;;;City;Safe and Healthy;10_DBoom;Social
86;669;Passengers are satisfied with the ferries (0-10);Passengers are satisfied with the ferries (0-10);Quality of Life;Transport;Subjective-Mobility;Here and now;;;;City;Safe and Healthy;10_DBoom;Social
218;670;Satisfaction neigh. Facilities;Satisfaction neigh. Facilities;Quality of Life;Subjective Well-Being;Satisfaction built-enviroment;Here and now;;System Condition;Index;Neighborhood;Safe and Healthy;1_StaatVDS;Social
111;671;Amsterdam road tunnel availability rate for traffic;Amsterdam road tunnel availability rate for traffic;Economic Capital;Physical Capital;Infrastructure;Here and now;;;;City;Safe and Healthy;10_DBoom;Economic
117;672;Heavy drinkers;people who are heavily drinkers;Quality of Life;Health;Smoking-Drinking;Here and now;;Adverse Outcome;People;City;Safe and Healthy;1_StaatVDS;Social
9;673;Overweight;Overweight;Quality of Life;Health;Obesity;Here and now, Later;;;;City;Safe and Healthy;2_BWMRA;Social
70;674;Cycling city score;Cycling city score;Quality of Life;Transport;Transport;Here and now;;;;;Safe and Healthy;9_SDGs;Social
105;675;Positive COVID-19;Positive test for COVID-19;Quality of Life;Health;COVID-19;Here and now;;Adverse Outcome;People;Neighborhood;Safe and Healthy;1_StaatVDS;Social
30;676;Youth with youth protection;Youth with youth protection;Quality of Life;Health;Health care facilities;Here and now;;;;;Safe and Healthy;11_BBV;Social
31;677;Youth with juvenile probation;Youth with juvenile probation;Quality of Life;Safety;Crime;Here and now;;;;;Safe and Healthy;11_BBV;Social
2;678;Depression Anxiety;Depression and Anxiety;Quality of Life;Health;Mental health;Here and now;;Adverse Outcome;People;;Safe and Healthy;4_Stadsdonut;Social
127;679;The Digitale Gracht records the number of passages (and speed thereof) per 'rak';The Digitale Gracht records the number of passages (and speed thereof) per 'rak';Economic Capital;Physical Capital;ICT;Here and now;;;;City;Safe and Healthy;10_DBoom;Economic
89;680;Experienced nuisance from pollution ;Experienced nuisance from pollution ;Natural Capital;Non-Energy Resources;Waste;Here and now;;;;City;Safe and Healthy;10_DBoom;Environmental
230;681;Percentage of youth (13 to 18 years) per district that meet the exercise guideline moderate intensive exercise compared to the urban target value;Percentage of youth (13 to 18 years) per district that meet the exercise guideline moderate intensive exercise compared to the urban target value;Quality of Life;Health;Lifestyle-Exercise;Here and now;;;;Stadsdeel;Safe and Healthy;10_DBoom;Social
32;682;Air quality regulation;Health impacts of air pollution;Quality of Life;Health;Mortality;Here and now;Tactical;Adverse Outcome;People;National;Safe and Healthy;4_Stadsdonut;Social
327;683;Number of requests for advice and reports to Safe Home;Number of requests for advice and reports to Safe Home;Quality of Life;Safety;Safety;Here and now;;;;City;Safe and Healthy;10_DBoom;Social
95;684;CROW of side placements scores at least 90% level B (grid measurement);CROW of side placements scores at least 90% level B (grid measurement);Natural Capital;Non-Energy Resources;Waste;Here and now;;;;City;Safe and Healthy;10_DBoom;Environmental
329;685;The proportion of triage decisions completed within the legal deadline of five working days from receipt of the report;The proportion of triage decisions completed within the legal deadline of five working days from receipt of the report;Quality of Life;Safety;Safety;Here and now;;;;City;Safe and Healthy;10_DBoom;Social
35;686;Air pollution;Air pollution;Natural Capital;Air Quality;Emissions of particulate matter;Here and now;Tactical;Adverse Outcome;Amount substance;City;Safe and Healthy;4_Stadsdonut;Environmental
29;687;Youth with youth assistance;Youth with youth assistance;Quality of Life;Consumption and Income;Official Development Assistance;Here and now;;;;;Safe and Healthy;11_BBV;Economic
11;688;Perceived health;Perceived health;Quality of Life;Health;Subjective-health;Here and now;;;;;Safe and Healthy;9_SDGs;Social
7;689;Healthy life exp.women;Healthy life expectancy women;Quality of Life;Health;Life expectancy;Here and now, Later;Strategic;System Condition;Time;;Safe and Healthy;6_RMBW;Social
226;690;Percentage of adolescents (5-12 years old) meeting the exercise guideline moderate intensive exercise;Percentage of adolescents (5-12 years old) meeting the exercise guideline moderate intensive exercise;Quality of Life;Health;Lifestyle-Exercise;Here and now;;;;City;Safe and Healthy;10_DBoom;Social
288;691;Percent vaccination rate (infants) DKTP basic immune;Percent vaccination rate (infants) DKTP basic immune;Quality of Life;Health;Immunization;Here and now, Later;;;;City;Safe and Healthy;10_DBoom;Social
76;692;Number of municipal garages with LED lighting;Number of municipal garages with LED lighting;Natural Capital;Energy Resources;Consumption;Here and now;;;;City;Safe and Healthy;10_DBoom;Environmental
411;693;Hourly deployment of street coaches (SAOA/host).;Hourly deployment of street coaches (SAOA/host).;Quality of Life;Institutional;Law;Here and now;;;;City;Safe and Healthy;10_DBoom;Social
227;694;Percentage of youth (13 to 18 years) meeting the exercise guideline moderate intensive exercise;Percentage of youth (13 to 18 years) meeting the exercise guideline moderate intensive exercise;Quality of Life;Health;Lifestyle-Exercise;Here and now;;;;City;Safe and Healthy;10_DBoom;Social
112;695;Homicide;Homicide;Quality of Life;Safety;Crime;Here and now;;;;;Safe and Healthy;9_SDGs;Social
70;696;Road accident fatalities;Road accident fatalities;Quality of Life;Transport;Transport;Here and now;;;;City;Safe and Healthy;10_DBoom;Social
122;697;Timely issuance of nautical frameworks for the purpose of smooth and safe use of waterways (within 14 days of receipt of the complete consent application);Timely issuance of nautical frameworks for the purpose of smooth and safe use of waterways (within 14 days of receipt of the complete consent application);Economic Capital;Physical Capital;Infrastructure;Here and now;;;;City;Safe and Healthy;10_DBoom;Economic
103;698;Perceived health;Perceived health;Quality of Life;Health;Subjective-health;Here and now;;System Condition;People;City;Safe and Healthy;1_StaatVDS;Social
412;699;Number of area bans imposed + removal orders+ dealer nuisance orders;Number of area bans imposed + removal orders+ dealer nuisance orders;Quality of Life;Institutional;Law;Here and now;;;;City;Safe and Healthy;10_DBoom;Social
125;700;We allocate available mooring permits for Amsterdam's inland waterways every two years (by program Sailing and by city districts);We allocate available mooring permits for Amsterdam's inland waterways every two years (by program Sailing and by city districts);Economic Capital;Consumption and Income;Competitiveness;Here and now;;;;City;Safe and Healthy;10_DBoom;Economic
32;701;Clients with customized WMO arrangements;Clients with customized WMO arrangements.;Human Capital;Health;Health care facilities;Here and now;;;;;Safe and Healthy;11_BBV;Economic
9;702;Violent crime;Violent crime;Quality of Life;Safety;Crime;Here and now;;;;;Safe and Healthy;11_BBV;Social
71;703;Severe limitations health ;Severe long-term limitations due to health problems;Quality of Life;Health;Healthy life expectancy;Here and now;;Adverse Outcome;;;Safe and Healthy;6_RMBW;Social
22;704;Juveniles with delinquency in court;Juveniles with delinquency in court;Quality of Life;Safety;Suspects-prisioners;Here and now;;;;;Safe and Healthy;11_BBV;Social
107;705;Hospitalizations COVID-19;hospitalizations due to COVID-19;Quality of Life;Health;COVID-19;Here and now;;Adverse Outcome;People;Neighborhood;Safe and Healthy;1_StaatVDS;Social
400;706;Number of closures/warnings;Number of closures/warnings;Quality of Life;Safety;Crime;Here and now;;;;City;Safe and Healthy;10_DBoom;Social
289;707;Number of new HIV infections (absolute numbers);Number of new HIV infections (absolute numbers);Quality of Life;Health;Chronic diseases;Here and now, Later;;;;City;Safe and Healthy;10_DBoom;Social
18;708;Mental Health;Mental Health;Quality of Life;Health;Mental health;Here and now;;;;City;Safe and Healthy;2_BWMRA;Social
215;709;Experienced Neigh. Development;Experienced Neighborhood. Development;Quality of Life;Subjective Well-Being;Satisfaction built-enviroment;Here and now;;System Condition;People;Neighborhood;Safe and Healthy;1_StaatVDS;Social
237;710;Jewelers (undermining);Jewelers (undermining);Quality of Life;Social Connections;Generalised trust;Here and now;;System Condition;Units;City;Safe and Healthy;1_StaatVDS;Social
120;711;Accelerate repair of quay walls (linear meters per year);Accelerate repair of quay walls (linear meters per year);Economic Capital;Physical Capital;Infrastructure;Here and now;;;;City;Safe and Healthy;10_DBoom;Economic
116;712;Smoking;people who smokes;Quality of Life;Health;Smoking-Drinking;Here and now;;Adverse Outcome;People;City;Safe and Healthy;1_StaatVDS;Social
224;713;Safety Index;Safety Index;Quality of Life;Safety;Safety;Here and now;;System Condition;Index;Neighborhood;Safe and Healthy;1_StaatVDS;Social
113;714;Organized crime;Organized crime;Quality of Life;Safety;Crime;Here and now;;;;;Safe and Healthy;9_SDGs;Social
26;715;Quality of housing;Quality of housing;Quality of Life;Housing;Quality of housing;Here and now;;;;City;Safe and Healthy;2_BWMRA;Social
118;716;Overweight;people with overweight;Quality of Life;Health;Obesity;Here and now;;Adverse Outcome;People;Neighborhood;Safe and Healthy;1_StaatVDS;Social
1;717;Overweight;Overweight;Quality of Life;Health;Obesity;Here and now;;Adverse Outcome;People;;Safe and Healthy;4_Stadsdonut;Social
111;718;Impairment physical integrity;Impairment physical integrity;Quality of Life;Safety;Crime;Here and now;;;;;Safe and Healthy;9_SDGs;Social
15;719;Drug users;Drug users;Quality of Life;Health;Lifestyle-Exercise;Here and now;;;;;Safe and Healthy;9_SDGs;Social
222;720;Customer satisfaction users facilities;Customer satisfaction users facilities;Quality of Life;Work Life Balance;Subjective-Leisure;Here and now;;;;City;Safe and Healthy;10_DBoom;Social
25;721;Satisfaction neighborhood ;Satisfaction with neighborhood to grow old;Quality of Life;Housing;Subjective;Here and now;;System Condition;Units;Neighborhood;Safe and Healthy;1_StaatVDS;Social
217;722;Percentage of youth (5 to 18 years) who are members of a sports club;Percentage of youth (5 to 18 years) who are members of a sports club;Quality of Life;Work Life Balance;Sports;Here and now;;;;City;Safe and Healthy;10_DBoom;Social
94;723;Percentage of reports clean city: waste and clean that were handled in a timely manner and to the satisfaction of the reporter;Percentage of reports clean city: waste and clean that were handled in a timely manner and to the satisfaction of the reporter;Natural Capital;Non-Energy Resources;Waste;Here and now;;;;City;Safe and Healthy;10_DBoom;Environmental
332;724;Percentage of youth 12 to 23 with juvenile probation;Percentage of youth 12 to 23 with juvenile probation;Quality of Life;Safety;Suspects-prisioners;Here and now;;;;City;Safe and Healthy;10_DBoom;Social
112;725;Accelerate bridge repair (number per year);Accelerate bridge repair (number per year);Economic Capital;Physical Capital;Infrastructure;Here and now;;;;City;Safe and Healthy;10_DBoom;Economic
228;726;Percentage of adults meeting the exercise guideline for moderate intensive exercise;Percentage of adults meeting the exercise guideline for moderate intensive exercise;Quality of Life;Health;Lifestyle-Exercise;Here and now;;;;City;Safe and Healthy;10_DBoom;Social
413;727;Operational deployment (actual staffing in FTE) enforcement and supervision in public spaces and public transportation;Operational deployment (actual staffing in FTE) enforcement and supervision in public spaces and public transportation;Quality of Life;Institutional;Law;Here and now;;;;City;Safe and Healthy;10_DBoom;Social
66;728;Experienced health;Experienced health;Quality of Life;Health;Healthy life expectancy;Here and now;;System Condition;Index;;Safe and Healthy;6_RMBW;Social
14;729;Smokers;Smokers;Quality of Life;Health;Smoking-Drinking;Here and now;;;;;Safe and Healthy;9_SDGs;Social
92;730;Heat stress elderly;Heat stress elderly;Quality of Life;Safety;Natural hazards;Here and Now, Elsewhere;;;;;Safe and Healthy;9_SDGs;Social
235;731;Unexplained house purchases;Unexplained house purchases;Quality of Life;Social Connections;Generalised trust;Here and now;;System Condition;Units;City;Safe and Healthy;1_StaatVDS;Social
121;732;We regulate the use of available waterways through available instruments (including the permit system and regulations) and monitoring;We regulate the use of available waterways through available instruments (including the permit system and regulations) and monitoring;Economic Capital;Physical Capital;Infrastructure;Here and now;;;;City;Safe and Healthy;10_DBoom;Economic
232;733;Young Halt referral;Young Halt referral;Quality of Life;Safety;Crime;Here and now;;System Condition;People;Neighborhood;Safe and Healthy;1_StaatVDS;Social
290;734;Number of smokers in Amsterdam;Number of smokers in Amsterdam;Quality of Life;Health;Smoking-Drinking;Here and now, Later;;;;City;Safe and Healthy;10_DBoom;Social
399;735;Security indices (4 types): recorded crime, perceived nuisance, perceived victimization, perceived insecurity;Security indices (4 types): recorded crime, perceived nuisance, perceived victimization, perceived insecurity;Quality of Life;Safety;Crime;Here and now;;;;City;Safe and Healthy;10_DBoom;Social
84;736;Satisfaction green ;Satisfaction with green space;Natural Capital;Land and Ecosystems;Subjective-Land and Ecosystems;Here and now;;;;Neighborhood;Safe and Healthy;1_StaatVDS;Environmental
227;737;City degradation;City degradation;Quality of Life;Subjective Well-Being;Satisfaction built-enviroment;Here and now;;System Condition;Index;Neighborhood;Safe and Healthy;1_StaatVDS;Social
84;738;Passenger satisfaction with GVB bus, streetcar and metro (0-10);Passenger satisfaction with GVB bus, streetcar and metro (0-10);Quality of Life;Transport;Subjective-Mobility;Here and now;;;;City;Safe and Healthy;10_DBoom;Social
108;739;Adults antibodies;adults with antibodies in the blood;Quality of Life;Health;COVID-19;Here and now;;System Condition;People;Neighborhood;Safe and Healthy;1_StaatVDS;Social
2;740;Particulate matter exposure;Particulate matter exposure;Quality of Life;Air Quality;Emissions of particulate matter;Here and now, Later, Elsewhere;;;;City;Safe and Healthy;2_BWMRA;Environmental
407;741;Number of youth in direction of youth and safety;Number of youth in direction of youth and safety;Quality of Life;Safety;Safety;Here and now;;;;City;Safe and Healthy;10_DBoom;Social
8;742;Shop lifting;Shop lifting;Quality of Life;Safety;Crime;Here and now;;;;;Safe and Healthy;11_BBV;Social
110;743;Extent of overdue maintenance on civil structures;Extent of overdue maintenance on civil structures;Economic Capital;Physical Capital;Infrastructure;Here and now;;;;City;Safe and Healthy;10_DBoom;Economic
124;744;We allocate passenger shipping operating licenses every two years;We allocate passenger shipping operating licenses every two years;Economic Capital;Consumption and Income;Competitiveness;Here and now;;;;City;Safe and Healthy;10_DBoom;Economic
5;745;Experienced nuisance;Experienced nuisance;Quality of Life;Health;Nuisance;Here and now;;;;City;Safe and Healthy;2_BWMRA;Social
126;746;We distribute and regulate the use of (semi-exclusive) boarding and disembarkation locations transparently;We distribute and regulate the use of (semi-exclusive) boarding and disembarkation locations transparently;Economic Capital;Consumption and Income;Competitiveness;Here and now;;;;City;Safe and Healthy;10_DBoom;Economic
84;747;Noise levels;Noise levels;Quality of Life;Health;Nuisance;Here and now;;;;;Safe and Healthy;9_SDGs;Social
106;748;Percentage of reports handled in a timely manner and to the reporter's satisfaction;Percentage of reports handled in a timely manner and to the reporter's satisfaction;Quality of Life;Institutional;Trust in institutions;Here and now;;;;City;Safe and Healthy;10_DBoom;Social
326;749;Percentage of households transferred to the local field (neighborhood youth and adult teams) immediately after safety assessment and/or service by Safe Home;Percentage of households transferred to the local field (neighborhood youth and adult teams) immediately after safety assessment and/or service by Safe Home;Quality of Life;Health;Health care facilities;Here and now;;;;City;Safe and Healthy;10_DBoom;Social
238;750;Hemp farms;Hemp farms;Quality of Life;Social Connections;Generalised trust;Here and now;;System Condition;Units;City;Safe and Healthy;1_StaatVDS;Social
229;751;Crimes;Total crimes ;Quality of Life;Safety;Crime;Here and now;;System Condition;Units;Neighborhood;Safe and Healthy;1_StaatVDS;Social
109;752;Percentage of acreage of civil structures meeting Level C (Sober);Percentage of acreage of civil structures meeting Level C (Sober);Economic Capital;Physical Capital;Infrastructure;Here and now;;;;City;Safe and Healthy;10_DBoom;Economic
214;753;Percent non-exercisers ;Percent non-exercisers ;Quality of Life;Health;Lifestyle-Exercise;Here and now;;;;City;Safe and Healthy;10_DBoom;Social
229;754;Percentage of youth (5 to 12 years) per district that meet the exercise guideline moderate intensive exercise compared to the urban target value;Percentage of youth (5 to 12 years) per district that meet the exercise guideline moderate intensive exercise compared to the urban target value;Quality of Life;Health;Lifestyle-Exercise;Here and now;;;;Stadsdeel;Safe and Healthy;10_DBoom;Social
12;755;Long-term illness;Long-term illness;Quality of Life;Health;Chronic diseases;Here and now;;;;;Safe and Healthy;9_SDGs;Social
92;756;CROW of litter scores at least 80% level B (grid measurement);CROW of litter scores at least 80% level B (grid measurement);Natural Capital;Non-Energy Resources;Waste;Here and now;;;;City;Safe and Healthy;10_DBoom;Environmental
93;757;CROW of trash cans scores at least 80% level B (grid measurement);CROW of trash cans scores at least 80% level B (grid measurement);Natural Capital;Non-Energy Resources;Waste;Here and now;;;;City;Safe and Healthy;10_DBoom;Environmental
88;758;Percentage of sailings where passengers have to stay behind on the dock or is uncomfortably crowded on the ferry;Percentage of sailings where passengers have to stay behind on the dock or is uncomfortably crowded on the ferry;Quality of Life;Transport;Transport;Here and now;;;;City;Safe and Healthy;10_DBoom;Social
96;759;Risk of flooding;Risk of flooding;Quality of Life;Safety;Natural hazards;Here and now, Later;;;;;Safe and Healthy;9_SDGs;Social
128;760;View of the number of pleasure craft on inland waterways that have a valid vignette;View of the number of pleasure craft on inland waterways that have a valid vignette;Quality of Life;Work Life Balance;Cultural;Here and now;;;;City;Safe and Healthy;10_DBoom;Social
328;761;Occupancy rates at Blijf Group;Occupancy rates at Blijf Group;Quality of Life;Safety;Safety;Here and now;;;;City;Safe and Healthy;10_DBoom;Social
20;762;Domestic Violence;Domestic Violence;Quality of Life;Safety;Crime;Here and now;;Adverse Outcome;People;;Safe and Healthy;4_Stadsdonut;Social
285;763;Percentage of infants reached by youth health services;Percentage of infants reached by youth health services;Quality of Life;Health;Health care facilities;Here and now;;;;City;Safe and Healthy;10_DBoom;Social
24;764;Crime Victimhood;Crime Victimhood;Quality of Life;Safety;Crime;Here and now;Project outcome;Adverse Outcome;Population;;Safe and Healthy;6_RMBW;Social
82;765;Ultrafine particles;Ultrafine particles (PM2.5);Quality of Life;Air Quality;Emissions of particulate matter;Here and now;;;Mass;Neighborhood;Safe and Healthy;1_StaatVDS;Environmental
